,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jamaal Williams,NO/12,R56/3,$0,$0,$0,23.05,28.08,34.06,RB56,6,,,Mike Williams,NYJ/12,W56/2,$0,$0,$0,18.01,18.08,19.03,WR56,5,,,Noah Fant,SEA/10,T23/1,$0,$0,$0,23.06,23.05,29.07,TE23,6
,Bucky Irving,TB/11,R57/2,$0,$0,$0,24.01,24.02,26.05,RB57,6,,,Brandin Cooks,DAL/7,W57/2,$0,$0,$0,18.02,18.06,20.08,WR57,5,,,Juwan Johnson,NO/12,T24/2,$0,$0,$0,23.08,24.03,36.06,TE24,6
,Braelon Allen,NYJ/12,R58/2,$0,$0,$0,24.02,24.05,26.03,RB58,6,,,Keon Coleman,BUF/12,W58/3,$0,$0,$0,18.04,17.03,13.06,WR58,5,,,Isaiah Likely,BAL/14,T25/2,$0,$0,$0,25.05,24.06,23.01,TE25,7
,Tyrone Tracy Jr.,NYG/11,R59/2,$0,$0,$0,24.03,27.05,27.03,RB59,6,,,Romeo Doubs,GB/10,W59/3,$0,$0,$0,18.05,18.02,18.04,WR59,5,,,Hayden Hurst,LAC/5,T26/1,$0,$0,$0,25.08,35.02,35.01,TE26,7
,Miles Sanders,CAR/11,R60/3,$0,$0,$0,24.07,28.02,39.06,RB60,6,,,DeMario Douglas,NE/14,W60/1,$0,$0,$0,18.06,21.06,24.05,WR60,5,,,Jonnu Smith,MIA/6,T27/1,$0,$0,$0,26.03,29.01,26.01,TE27,7
,Elijah Mitchell,SF/9,R61/2,$0,$0,$0,24.08,25.03,25.05,RB61,6,,,Gabe Davis,JAC/12,W61/3,$0,$0,$0,19.02,21.03,21.02,WR61,5,,,Mike Gesicki,CIN/12,T28/1,$0,$0,$0,27.05,26.03,28.07,TE28,7
,Roschon Johnson,CHI/7,R62/3,$0,$0,$0,26.01,23.03,28.05,RB62,6,,,Rashid Shaheed,NO/12,W62/2,$0,$0,$0,19.06,18.04,22.04,WR62,5,,,Zach Ertz,WAS/14,T29/1,$0,$0,$0,27.08,29.05,29.05,TE29,7
,Dameon Pierce,HOU/14,R63/2,$0,$0,$0,26.05,25.02,31.02,RB63,6,,,Darnell Mooney,ATL/12,W63/2,$0,$0,$0,20.01,22.06,23.02,WR63,5,,,Ben Sinnott,WAS/14,T30/2,$0,$0,$0,28.01,24.08,27.01,TE30,7
,,,,,,,,,,,,,,Ja'Lynn Polk,NE/14,W64/2,$0,$0,$0,20.04,21.07,23.07,WR64,5,,,,,,,,,,,,,
,KICKER,,,,,,,,,,,,,Josh Downs,IND/14,W65/2,$0,$0,$0,20.06,19.01,25.08,WR65,5,,,DEFENSE/SPECIAL TEAMS,,,,,,,,,,
,NAME,TM/BW,POS,,$,,$RK,ECR,ADP,,,,,Wan'Dale Robinson,NYG/11,W66/2,$0,$0,$0,20.08,22.07,28.04,WR66,5,,,NAME,TM/BW,POS,,$,,SOS,ECR,ADP,,
,Younghoe Koo,ATL/12,K1/1,,,,NA,0.00,17.05,K1,#DIV/0!,,,Michael Wilson,ARI/11,W67/2,$0,$0,$0,21.01,22.05,31.01,WR67,5,,,Dallas Cowboys,DAL/7,D1/1,,,,3.5,0.00,16.04,DST1,#DIV/0!
,Brandon Aubrey,DAL/7,K2/1,,,,NA,0.00,14.05,K2,#DIV/0!,,,Adonai Mitchell,IND/14,W68/3,$0,$0,$0,21.02,22.01,22.01,WR68,5,,,Baltimore Ravens,BAL/14,D2/1,,,,2.0,0.00,16.03,DST2,#DIV/0!
,Justin Tucker,BAL/14,K3/1,,,,NA,0.00,13.07,K3,#DIV/0!,,,Dontayvion Wicks,GB/10,W69/4,$0,$0,$0,21.03,21.01,22.06,WR69,5,,,New York Jets,NYJ/12,D3/1,,,,3.3,0.00,16.06,DST3,#DIV/0!
,Jason Myers,SEA/10,K4/1,,,,NA,0.00,23.05,K4,#DIV/0!,,,Demarcus Robinson,LAR/6,W70/3,$0,$0,$0,21.07,24.01,35.04,WR70,5,,,Kansas City Chiefs,KC/6,D4/1,,,,2.8,0.00,19.08,DST4,#DIV/0!
,Harrison Butker,KC/6,K5/1,,,,NA,0.00,15.02,K5,#DIV/0!,,,Rashod Bateman,BAL/14,W71/2,$0,$0,$0,22.03,23.01,32.08,WR71,6,,,San Francisco 49ers,SF/9,D5/1,,,,3.8,0.00,14.06,DST5,#DIV/0!
,Greg Zuerlein,NYJ/12,K6/1,,,,NA,0.00,25.02,K6,#DIV/0!,,,Xavier Legette,CAR/11,W72/3,$0,$0,$0,22.05,23.06,21.06,WR72,6,,,Houston Texans,HOU/14,D6/1,,,,3.5,0.00,22.07,DST6,#DIV/0!
,Cameron Dicker,LAC/5,K7/1,,,,NA,0.00,21.07,K7,#DIV/0!,,,Kendrick Bourne,NE/14,W73/3,$0,$0,$0,22.08,27.06,45.01,WR73,6,,,Philadelphia Eagles,PHI/5,D7/1,,,,2.8,0.00,22.02,DST7,#DIV/0!
,Cairo Santos,CHI/7,K8/1,,,,NA,0.00,26.08,K8,#DIV/0!,,,DJ Chark Jr.,LAC/5,W74/3,$0,$0,$0,23.07,28.06,40.03,WR74,6,,,Pittsburgh Steelers,PIT/9,D8/1,,,,3.3,0.00,19.06,DST8,#DIV/0!
,Ka'imi Fairbairn,HOU/14,K9/1,,,,NA,0.00,18.07,K9,#DIV/0!,,,Tim Patrick,DEN/14,W75/2,$0,$0,$0,24.04,36.02,42.05,WR75,6,,,Cleveland Browns,CLE/10,D9/1,,,,3.0,0.00,16.08,DST9,#DIV/0!
,Blake Grupe,NO/12,K10/1,,,,NA,0.00,29.06,K10,#DIV/0!,,,Malachi Corley,NYJ/12,W76/3,$0,$0,$0,24.05,27.04,37.03,WR76,6,,,Buffalo Bills,BUF/12,D10/1,,,,2.5,0.00,20.05,DST10,#DIV/0!
,Matt Gay,IND/14,K11/1,,,,NA,0.00,25.04,K11,#DIV/0!,,,Darius Slayton,NYG/11,W77/3,$0,$0,$0,24.06,25.08,36.07,WR77,6,,,Miami Dolphins,MIA/6,D11/1,,,,2.5,0.00,21.01,DST11,#DIV/0!
,Jake Elliott,PHI/5,K12/1,,,,NA,0.00,18.03,K12,#DIV/0!,,,Luke McCaffrey,WAS/14,W78/2,$0,$0,$0,25.01,30.02,38.06,WR78,6,,,Indianapolis Colts,IND/14,D12/1,,,,3.0,0.00,28.01,DST12,#DIV/0!
,Matt Prater,ARI/11,K13/1,,,,NA,0.00,47.05,K13,#DIV/0!,,,Jalen McMillan,TB/11,W79/3,$0,$0,$0,25.02,27.08,36.01,WR79,6,,,Cincinnati Bengals,CIN/12,D13/1,,,,4.5,0.00,24.08,DST13,#DIV/0!
,Dustin Hopkins,CLE/10,K14/1,,,,NA,0.00,30.02,K14,#DIV/0!,,,Tyler Boyd,TEN/5,W80/3,$0,$0,$0,25.03,25.04,33.05,WR80,6,,,Los Angeles Chargers,LAC/5,D14/1,,,,3.3,0.00,24.07,DST14,#DIV/0!
,Chase McLaughlin,TB/11,K15/1,,,,NA,0.00,39.03,K15,#DIV/0!,,,Odell Beckham Jr.,MIA/6,W81/3,$0,$0,$0,25.04,28.07,31.07,WR81,6,,,Washington Commanders,WAS/14,D15/1,,,,3.5,0.00,31.05,DST15,#DIV/0!
,Cam Little,JAC/12,K16/1,,,,NA,0.00,38.05,K16,#DIV/0!,,,Marvin Mims Jr.,DEN/14,W82/3,$0,$0,$0,25.06,23.08,29.03,WR82,6,,,Jacksonville Jaguars,JAC/12,D16/1,,,,2.8,0.00,29.08,DST16,#DIV/0!
,Evan McPherson,CIN/12,K17/1,,,,NA,0.00,19.02,K17,#DIV/0!,,,Quentin Johnston,LAC/5,W83/4,$0,$0,$0,25.07,25.01,31.04,WR83,6,,,Green Bay Packers,GB/10,D17/1,,,,2.8,0.00,28.08,DST17,#DIV/0!
